tau_idx,tau_value,R00,R01,R02,R10,R11,R12,R20,R21,R22
0,0.0,1.0,-5.551115123125783e-17,-0.0,5.551115123125783e-17,1.0,0.0,0.0,-0.0,1.0
1,60.24437157536091,0.9367132915762579,0.2736805237864806,-0.2183281481722642,-0.31347504480943195,0.9333385493676232,-0.17496442080053176,0.15588972277253282,0.2323319245482604,0.9600626391905918
2,120.48874315072182,0.7840874820663191,0.45448677813389315,-0.42266841491691043,-0.6005008070335812,0.7276439168984212,-0.3315616246683885,0.15686172643101282,0.5137860437012638,0.843456163697252
3,180.73311472608273,0.6086674685969867,0.5230380780435914,-0.5966197127050048,-0.7934252296687171,0.40177682749023413,-0.45722181249042204,0.0005635573441541974,0.7516691757737236,0.6595400917266298
4,240.97748630144363,0.47290774016902587,0.4989612608717393,-0.7262203036527619,-0.8404328774279664,0.00789403410254283,-0.5418581574210517,-0.2646334215974514,0.8665883361636437,0.42307659802777264
5,301.22185787680456,0.41494050027859836,0.43140920658840554,-0.8010683352244732,-0.7211343537842895,-0.3809182061057938,-0.5786765625539533,-0.5547879099445678,0.817794238624794,0.15304560840295853
6,361.46622945216546,0.43694667712107566,0.38025948601498283,-0.8151566258385389,-0.4534310443047096,-0.6895580602282517,-0.5647211432512432,-0.7768383933699409,0.6163703471695178,-0.12887864724824338
7,421.71060102752637,0.5057587431606414,0.39417613891600967,-0.7673547192959951,-0.0894590758061781,-0.8607463133447542,-0.5011116221155911,-0.8580239900331885,0.3220884281881005,-0.40006734052512444
8,481.95497260288727,0.5654021039326429,0.4926853175429324,-0.6614995379787962,0.29823808932689916,-0.8698514504709602,-0.39295355474687743,-0.7690087794968152,0.024892408304272723,-0.6387533679485629
9,542.1993441782482,0.5574602959628263,0.6581136577995903,-0.5060873756997718,0.6361648395488826,-0.7302936830072568,-0.24892857104286167,-0.5334157059431065,-0.18318719927260327,-0.8257785021880124
10,602.4437157536091,0.4426358489841795,0.8400795122218346,-0.3135919615346974,0.8691056589733982,-0.48801577313600764,-0.08059751057495605,-0.2207461409276958,-0.23686920085901664,-0.9461311341193358
11,662.68808732897,0.21646825935413402,0.9712098325100198,-0.09946332956447182,0.9733956824749568,-0.20686506451032552,0.09852761249645654,0.07511549794352945,-0.11814527633806717,-0.9901511781782101
12,722.9324589043309,-0.08600508326003664,0.9891488355681559,0.11911216036826708,0.9603833669902673,0.050500977098253734,0.2740683121423554,0.2650790713388592,0.137964605628702,-0.9543054298974961
13,783.1768304796918,-0.39837283268398904,0.8578692651665785,0.3245911429196577,0.869315429117157,0.24025773622485624,0.4319339126335891,0.29255729503498634,0.45424282500295204,-0.8414711433288428
14,843.4212020550527,-0.64143542166227,0.5814457383261491,0.5004812216450341,0.7521671561686052,0.34822006178651954,0.5594527305775046,0.15101380406499076,0.7352983353386244,-0.6607050696264324
15,903.6655736304136,-0.7465907852524859,0.20576124047250488,0.6326646120143693,0.6554174659352379,0.39065173704550316,0.6463893298085621,-0.11414965932103188,0.897247754113961,-0.4265164979392302
16,963.9099452057745,-0.6767857989653181,-0.1926300827681301,0.7105312333258966,0.6046531620462715,0.4051164194014568,0.6857661703225003,-0.41994706326669506,0.8937417624482401,-0.1577026509275989
17,1024.1543167811355,-0.4384926811459666,-0.527244912370448,0.7278303174235741,0.5969083375957495,0.4345723580227463,0.6744236814875567,-0.6718813921296682,0.7301778331489043,0.12416008572754178
18,1084.3986883564965,-0.08091677202375733,-0.7257604569393602,0.683172185578736,0.6031178051976788,0.5100432946731308,0.6132737974286144,-0.7935372638123497,0.46165744519302354,0.39644799689121946
19,1144.6430599318574,0.31741516552510474,-0.7501235191170764,0.580139913091733,0.5797904277306202,0.6376238902149824,0.5072266106377472,-0.7503936784159465,0.17535814978074227,0.6373059286550377
20,1204.8874315072183,0.6706330473655506,-0.6065646631649615,0.42700190301774127,0.48602642939412494,0.7941675840861893,0.36479605030359574,-0.5603834630961138,-0.03711007661380791,0.8274014844693744
21,1265.1318030825792,-0.2763663643479865,-0.6433878247990977,0.7139143783097256,0.6007243866022706,0.46419482003899876,0.650886611008621,-0.7501678772104295,0.6087489432838858,0.25821092163646103
22,1325.37617465794,0.1117167775233954,-0.759936257834566,0.6403251093375807,0.5983598830583926,0.5658965328117046,0.567209453815818,-0.7934007889875933,0.31977804518147873,0.5179355074271094
