tau_idx,tau_value,R00,R01,R02,R10,R11,R12,R20,R21,R22
0,0.0,1.0,-5.551115123125783e-17,-0.0,5.551115123125783e-17,1.0,0.0,0.0,-0.0,1.0
1,60.24437157536091,-0.41396141803851216,-0.4251773209061522,-0.8048976271319299,0.4665507833536506,0.6601531908918513,-0.588666400525291,0.781643339975234,-0.6192107963709726,-0.07491113889126763
2,120.48874315072182,0.9572415890993115,0.23810226552027466,-0.16430414253066697,-0.24800891463663063,0.9678306972432643,-0.04237121351079839,0.1489299108956477,0.08130837981247582,0.985499279052443
3,180.73311472608273,-0.33607421184594893,-0.2940242758351707,-0.8947646893746578,0.3213735985612875,0.857205404629688,-0.402390238973837,0.8853096262211843,-0.4227867305075416,-0.1935929911614847
4,240.97748630144363,0.8251613643835984,0.46368717077367383,-0.3226498572578394,-0.4968846483157936,0.8674824382776034,-0.024080397588788438,0.2687273134549007,0.1801899745819667,0.94621202912638
5,301.22185787680456,-0.32404348778537306,-0.10842344472373966,-0.9398085840521618,0.16884954540818614,0.9708318633414036,-0.17022139741086484,0.9308521091125809,-0.2138453875006353,-0.29628449369712795
6,361.46622945216546,0.6082451914186146,0.6483950285099229,-0.4578445960364166,-0.7099666716692248,0.7023515337192859,0.051474733618447246,0.3549438156033379,0.2937451447867408,0.8875408033883067
7,421.71060102752637,-0.38057771178468186,0.09642551713488565,-0.919707956330707,0.042674117643738685,0.9953205562870369,0.08669434765768709,0.9237637820222572,-0.006253789070110816,-0.38291169366604955
8,481.95497260288727,0.3248178104544306,0.7658580867889127,-0.5549367359543034,-0.8556786567645147,0.48790958830744846,0.1725058549595706,0.40287395841536566,0.41881454671212515,0.8138101431495257
9,542.1993441782482,-0.49239010781136916,0.2836051885457373,-0.8228730635762999,-0.028823838315390815,0.9395921570826572,0.3410802906846535,0.869897216959726,0.19166292124116324,-0.4544712934245982
10,602.4437157536091,0.004882546376207997,0.7966598917982859,-0.6044081216701409,-0.913535344017425,0.2493902974089407,0.32133729131435285,0.4067300529489422,0.5505792371296104,0.728994628011707
11,662.68808732897,-0.6332785487772368,0.4214966701665115,-0.6490753705827547,-0.028461983927715456,0.8254296927832105,0.5637869613096009,0.7734004106085642,0.3755081614430745,-0.5107302865115271
12,722.9324589043309,-0.31449539636152,0.732193882103834,-0.6041396897052268,-0.8781977184739266,0.017185276905608782,0.47798894707395495,0.3603628906180559,0.6808794205051252,0.6376063062721421
13,783.1768304796918,-0.7697909007409279,0.4892790425607434,-0.40991217065038865,0.04612299451952595,0.6831572297225998,0.728813329223811,0.6366275508592311,0.542127492374797,-0.5484552338143851
14,843.4212020550527,-0.5951849005545501,0.5765568942376871,-0.5597652024365779,-0.7605361835311679,-0.17920981630898086,0.6240741584766568,0.2594988394804808,0.79716120668626,0.5451553566303737
15,903.6655736304136,-0.8680742159798636,0.47989195240080573,-0.12708607151017234,0.1818604420474538,0.5456093948839457,0.818069170567306,0.461924166037295,0.6870328247145969,-0.5609028102937549
16,963.9099452057745,-0.8040318183984646,0.3461315344241302,-0.4834519581923895,-0.5852768192684692,-0.31741121143076323,0.7461240967057956,0.10480400674517396,0.8828607385852272,0.4577914770230056
17,1024.1543167811355,-0.9003666660069436,0.4001079361547309,0.1710365638380948,0.3529627334778594,0.4416832176084419,0.8248231592643913,0.25447431210119914,0.8030128110491486,-0.5389000369006909
18,1084.3986883564965,-0.9177257910897565,0.06707617305459238,-0.39151010124520597,-0.38559738958658196,-0.3870711661848777,0.8375503360707898,-0.09536260017792508,0.9196068177849867,0.38108958942836
19,1144.6430599318574,-0.8498405314084201,0.26803215083556564,0.45379492867804877,0.526447900638923,0.39091125637969776,0.7550105943286607,0.024973567793278306,0.8805379922264043,-0.47331719296637403
20,1204.8874315072183,-0.9256725364682156,-0.22861095368632517,-0.30144217867300743,-0.19581007106147297,-0.3922509804839799,0.8987756029066754,-0.32371093787421107,0.8909973064852585,0.31833163294999967
21,1265.1318030825792,-0.702677344042016,0.39835891312839933,-0.589537722712651,-0.6465922506384081,-0.011744550296222178,0.7627453880245344,0.2969225683312337,0.9171544264023915,0.26582841561067916
22,1325.37617465794,-0.7031604790329723,0.6911536496549541,0.16694901405746207,0.5532274112446974,0.3843117149614702,0.7390831733917805,0.4466595707847443,0.6120548491042378,-0.6525979539612251
23,1385.620546233301,-0.8468500397592953,0.14433606067124993,-0.5118711866764778,-0.5254067577622417,-0.07789963805898953,0.8472776317642571,0.08241813548879567,0.9864576767303218,0.1418044532529456
24,1445.8649178086619,-0.6988170202757115,0.557198094192055,0.4485365715320412,0.6894427681291263,0.35760363293625597,0.6299113518466225,0.1905870972742483,0.7494330694195003,-0.6340557016643278
25,1506.1092893840228,-0.8925123900747625,-0.1355387649560926,-0.43017540231539547,-0.4186703077182161,-0.10574682057782492,0.9019605220700161,-0.16774029628616222,0.9851126093659844,0.03763429114480732
26,1566.3536609593837,-0.6117866809992055,0.3881334726317063,0.689252830516371,0.7866075474303982,0.39044654412949265,0.4783304950584588,-0.0834603095939051,0.8348077045644637,-0.5441787143230621
27,1626.5980325347446,-0.8377380580429127,-0.4103455855211805,-0.3602935560758327,-0.344586529893525,-0.11459703859261877,0.9317336755542008,-0.4236213751953841,0.9047010662031308,-0.04539726080382117
28,1686.8424041101055,-0.4486597114595585,0.21001178628537126,0.8686768748701981,0.8244054406175201,0.472535715497282,0.3115536343227357,-0.3450509133349147,0.8559235054610312,-0.3851425969768105
29,1747.0867756854664,-0.6917246417144878,-0.6498686776083917,-0.31494082286754155,-0.30825379478013465,-0.12867864210717644,0.9425610882426139,-0.6530670854120659,0.7490744348387375,-0.11131429837364121
30,1807.3311472608273,-0.22575505053294564,0.046933581390752155,0.9730528742554052,0.7958034579368967,0.5850052495918905,0.15641519838432694,-0.5618999141257681,0.8096703631032619,-0.16941779604777907
31,1867.5755188361882,-0.4732066566277166,-0.8275373480291552,-0.30208839391822334,-0.3009288091068263,-0.17044019401660673,0.9382920612011642,-0.8279597284728082,0.5349131498481364,-0.16837639426825707
32,1927.819890411549,0.033666386568398404,-0.08190741992780587,0.9960711565828002,0.7075323638776227,0.7058563396371017,0.0341289006540742,-0.7058785508011773,0.7036035832447718,0.08171578283261496
33,1988.06426198691,-0.20818939076674242,-0.9228811955018692,-0.32395597935709264,-0.30298573831925374,-0.25406975614945054,0.9185032397249862,-0.9299767846281483,0.2893766714840697,-0.22672521265508055
34,2048.308633562271,0.3026494662696439,-0.1641721205287968,0.9388561207170022,0.5771627883098903,0.8154719924039283,-0.04345739747292998,-0.7584763782459231,0.555025174605482,0.3415562021060397
35,2108.5530051376318,0.07278565617804228,-0.9235045300286969,-0.37661868152178496,-0.2898045264351091,-0.3809105707100009,0.878020770585243,-0.9543141960132702,0.04523848072003889,-0.2953606188199244
36,2168.797376712993,0.553895960129613,-0.19531810616414574,0.8093516558063905,0.4276919988879227,0.9007812698723634,-0.07531704942697628,-0.7143380288346319,0.38787103688156965,0.5824750975870718
37,2229.0417482883536,0.33775728032662794,-0.8265547679737476,-0.45025241268229077,-0.23904176829545432,-0.538008061514879,0.8083355483678697,-0.9103730293657332,-0.16539208350119572,-0.3792972529805502
38,2289.2861198637147,0.7629928459105888,-0.17859657699130396,0.6212448629777555,0.2811868417701445,0.9570819102983394,-0.0702009757411755,-0.5820445662529569,0.22824872325310086,0.7804656579432161
39,2349.5304914390754,0.5567812765363117,-0.6395416668147982,-0.5300764723191789,-0.1373631123902152,-0.7002426414594248,0.7005652135500312,-0.8192227935385274,-0.31724863985473195,-0.47773142565384397
40,2409.7748630144365,0.9113372337560895,-0.12414993029443705,0.39249361928276677,0.15322622553049958,0.98723297383607,-0.04350608210889718,-0.38208136591500447,0.0997890283481909,0.918725192667453
41,2470.019234589797,0.7055183361184036,-0.380242300012239,-0.5980465455816311,0.01514632832276988,-0.8355911132207392,0.5491430416975757,-0.7085297919911755,-0.3964886944011504,-0.5837655771566299
42,2530.2636061651583,0.9885246245419462,-0.047236816719143315,0.14348431907510403,0.04960332868373735,0.9986849221608146,-0.012959013548139995,-0.14268348347898338,0.019927603842153713,0.9895677410604152
43,2590.507977740519,0.7686034747462155,-0.07539483943741757,-0.6352671223936041,0.2040634165882155,-0.9122594066644799,0.3551631976465415,-0.6063058804088813,-0.40261444725491147,-0.6857804213035205
44,2650.75234931588,0.9938664078635427,0.034344302000216834,-0.10511913356062394,-0.03392825937625646,0.999407764440568,0.005744004840162079,0.10525415210867389,-0.0021422642283904936,0.9944430472218407
45,2710.996720891241,0.7422290699356388,0.24199448773229457,-0.6249277363421003,0.4034482233488276,-0.9059544889602059,0.12835885247822776,-0.5350939532634916,-0.34739765664154565,-0.7700580038807542
46,2771.241092466602,0.9366433447086762,0.10342413006228095,-0.3346680357216758,-0.1089509126467736,0.994044536735873,0.002271039189311694,0.3329098127817496,0.03433523418333821,0.9423333530376585
47,2831.4854640419626,0.6352929145831092,0.5366310869540248,-0.5553647352821749,0.5816750380917021,-0.805537551188743,-0.11297523483427745,-0.5079931719437922,-0.2512694373364678,-0.8238972066460111
48,2891.7298356173237,0.8347720524718119,0.14680859147347153,-0.5306626592116449,-0.18962476476008588,0.9814918241131203,-0.026762806070780458,0.5169120515152273,0.12296762447358023,0.8471604891221283
49,2951.9742071926844,0.46858591812998507,0.7757357222806844,-0.42268348265332556,0.7087735222186928,-0.6157245179968008,-0.34427229359812817,-0.5273208999574996,-0.13826571200146667,-0.8383407787724156
50,3012.2185787680455,0.7118041216356782,0.15818774498114674,-0.6843329085761116,-0.28731350121371846,0.954641011790624,-0.07817602335555805,0.6409257713985104,0.2522640995963433,0.7249668817346561
51,3072.462950343406,0.27183834330105516,0.9338786571069077,-0.23232427533845118,0.7634207618316927,-0.3562522536051467,-0.5387699622339502,-0.5859118154770866,-0.0309028413168273,-0.8097853782842039
52,3132.7073219187673,0.5925629732348261,0.13990220669536624,-0.7932821032349525,-0.4061482852822369,0.9023506685000868,-0.1442457674240215,0.6956383349941272,0.4076648667952798,0.5915206363833685
53,3192.951693494128,0.07894020514659544,0.9968789208823423,0.0009279611361904805,0.7378590369363232,-0.05780312104552555,-0.6724751599938829,-0.6703226727650016,0.05377003159617055,-0.7401191107378133
54,3253.196065069489,0.4981500607289905,0.10296089279355669,-0.8609561960697288,-0.5407648059931004,0.8130601386570487,-0.21565397173765583,0.6778052386895134,0.5730028494537658,0.46070358466471417
55,3313.44043664485,-0.07783847042448094,0.9638815265260583,0.2547029158525152,0.6395877367366103,0.2442546942860812,-0.7288807661993517,-0.7647670884250435,0.10616989752754424,-0.6354992158302581
56,3373.684808220211,0.4413747983661842,0.06502007042908448,-0.894964065093458,-0.6768039454840773,0.6789860850488982,-0.2844544175912139,0.5891729005516093,0.7312662215304132,0.3436931865839592
57,3433.9291797955716,-0.17344506627454462,0.8470687016126082,0.502385732016097,0.4895198296030807,0.5167898558012869,-0.7023521775905992,-0.8545683971516792,0.12410825794126651,-0.5042915772649732
58,3494.1735513709327,0.42374402735288696,0.046516261796199554,-0.904586776750171,-0.7939926617929596,0.49969210877158765,-0.346241894418245,0.435908995435615,0.864953197473662,0.24867511712755205
59,3554.4179229462934,-0.19421052431135905,0.6689964332500153,0.7174441055200504,0.317168997871538,0.7349098664439965,-0.5994258210925119,-0.9282704880776247,0.11113622497649273,-0.35491215879722
